Accuracy,Sensitivity,Specificity,AUC,Model,Side
0.7575757575757576,0.8494623655913979,0.6388888888888888,0.8830645161290323,ExtraTrees,LR
0.7696969696969697,0.8494623655913979,0.6666666666666666,0.8457287933094384,XGBoost,LR
0.7818181818181819,0.8709677419354839,0.6666666666666666,0.8416965352449223,CatBoost,LR
0.7696969696969697,0.8602150537634409,0.6527777777777778,0.8378136200716846,RandomForest,LR
0.7636363636363637,0.8494623655913979,0.6527777777777778,0.8637992831541219,VotingEnsemble,LR
0.7212121212121212,0.8064516129032258,0.6111111111111112,0.7956989247311828,ExtraTrees,L
0.7878787878787878,0.8924731182795699,0.6527777777777778,0.8130227001194743,XGBoost,L
0.7636363636363637,0.8279569892473119,0.6805555555555556,0.8128733572281959,CatBoost,L
0.7212121212121212,0.8387096774193549,0.5694444444444444,0.78584229390681,RandomForest,L
0.7757575757575758,0.8602150537634409,0.6666666666666666,0.8316905615292712,VotingEnsemble,L
0.7575757575757576,0.7849462365591398,0.7222222222222222,0.8317652329749103,ExtraTrees,R
0.703030303030303,0.7419354838709677,0.6527777777777778,0.799731182795699,XGBoost,R
0.7212121212121212,0.7741935483870968,0.6527777777777778,0.8016726403823178,CatBoost,R
0.7272727272727273,0.8064516129032258,0.625,0.798984468339307,RandomForest,R
0.7151515151515152,0.7634408602150538,0.6527777777777778,0.8170549581839904,VotingEnsemble,R
